product;sku;image_url;reason
La Fiole du pape 1,5 L;;https://r.bing.com/rp/UzLAW1Q1WOatPD4L3XbeKD9b0Lg.svg;cannot identify image file <_io.BytesIO object at 0x0000018AFE873F10>
La Fiole du pape 1,5 L;;https://tse3.mm.bing.net/th/id/OIF.l1efASBfpUOGYOsYL9KmCw?w=147&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 147x180
La Fiole du pape 1,5 L;;https://tse2.mm.bing.net/th/id/OIF.G35Rp9d9hzXK3b7suU9E7Q?w=220&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 220x180
La Fiole du pape 1,5 L;;https://tse4.mm.bing.net/th/id/OIF.I5zAeAqgPMjy8EtD0dzA3w?w=122&h=150&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 122x150
La Fiole du pape 1,5 L;;https://tse4.mm.bing.net/th/id/OIF.zBUM0G3runM6iwWPJ72y9g?w=220&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 220x180
La Fiole du pape 1,5 L;;https://tse3.mm.bing.net/th/id/OIF.grhiWsSzNCq2Ikvp14kthg?w=263&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 263x180
La Fiole du pape 1,5 L;;https://tse1.mm.bing.net/th/id/OIF.Gdf9XtKHN5msmzoSIiwH1A?w=123&h=184&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 123x184
La Fiole du pape 1,5 L;;https://tse1.mm.bing.net/th/id/OIF.kHMpUS203CKnM1bYF9jGoQ?w=328&h=184&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 328x184
La Fiole du pape 1,5 L;;https://tse2.mm.bing.net/th/id/OIF.i5kuPDJnmYnrL86P23SRZQ?w=147&h=184&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 147x184
Champagne Ruinard;;https://r.bing.com/rp/r31GrT0Eaf_5sPyu1TswcyPA8VI.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8118A200>
Champagne Ruinard;;https://r.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8118A2A0>
Champagne Ruinard;;https://r.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8118A160>
Champagne Ruinard;;https://r.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8118A110>
Champagne Ruinard;;https://r.bing.com/rp/UusW4P7f5q9mXctgEuZhyIziufA.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8118A250>
Champagne Ruinard;;https://r.bing.com/rp/4A9D07RlW6M7gPmPQQydX3khDJc.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8118A2F0>
Champagne Ruinard;;https://r.bing.com/rp/OHA5u4HW70mLbGkOE41WRDXcYTY.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81189F30>
Champagne Ruinard;;https://r.bing.com/rp/UzLAW1Q1WOatPD4L3XbeKD9b0Lg.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8118A1B0>
Champagne Ruinard;;https://tse4.mm.bing.net/th/id/OIP.s-Wb9NbIC-xe8B5nzl43PAHaNK?w=187&h=333&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 187x333
Hennessy Paradis;;https://r.bing.com/rp/r31GrT0Eaf_5sPyu1TswcyPA8VI.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81754450>
Hennessy Paradis;;https://r.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg;cannot identify image file <_io.BytesIO object at 0x0000018A817544A0>
Hennessy Paradis;;https://r.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg;cannot identify image file <_io.BytesIO object at 0x0000018A817544F0>
Hennessy Paradis;;https://r.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81754400>
Hennessy Paradis;;https://r.bing.com/rp/UusW4P7f5q9mXctgEuZhyIziufA.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81754630>
Hennessy Paradis;;https://r.bing.com/rp/4A9D07RlW6M7gPmPQQydX3khDJc.svg;cannot identify image file <_io.BytesIO object at 0x0000018A817545E0>
Hennessy Paradis;;https://r.bing.com/rp/OHA5u4HW70mLbGkOE41WRDXcYTY.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81754540>
Hennessy Paradis;;https://r.bing.com/rp/UzLAW1Q1WOatPD4L3XbeKD9b0Lg.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81754680>
Hennessy Paradis;;https://tse4.mm.bing.net/th/id/OIP.aiNSLymb64KItEsW1OMOnwHaMD?w=194&h=316&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x316
Hennessy Paradis;;https://tse4.mm.bing.net/th/id/OIP.h3Hh9X4qTD5f7UH-cys1pgHaD4?w=194&h=101&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x101
Hennessy Paradis;;https://tse1.mm.bing.net/th/id/OIP.wnQvuenN7DZ-6tLP7zlU2gHaEm?w=194&h=121&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x121
Hennessy Paradis;;https://tse1.mm.bing.net/th/id/OIP.gyJgHfAsax7mHxBmADJ-LQHaE8?w=194&h=129&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x129
Hennessy Paradis;;https://tse2.mm.bing.net/th/id/OIP.k4Bu1dPgceNiS42Jp3y2oAHaKe?w=194&h=274&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x274
Hennessy Paradis;;https://tse4.mm.bing.net/th/id/OIP.7KQH73F4N97OmuQymziIdQHaFj?w=194&h=146&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x146
Hennessy Paradis;;https://tse2.mm.bing.net/th/id/OIP.9BjIerK8uAhuQnXVQcOcpQHaNK?w=187&h=333&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 187x333
Hennessy Paradis;;https://tse3.mm.bing.net/th/id/OIP.DInKsEPxcoT4uUQyee4nIwHaHa?w=194&h=194&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x194
Hennessy Paradis;;https://tse4.mm.bing.net/th/id/OIP.NYjwmE1LQWcxE537Xkxg_AHaK7?w=194&h=287&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x287
Hennessy Paradis;;https://tse2.mm.bing.net/th/id/OIP.uMnqnSJhbRSScEZNMjm8TgHaHa?w=194&h=194&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x194
Hennessy Paradis;;https://tse2.mm.bing.net/th/id/OIP.4zEhczHqGS97Tw827H-zUgHaLH?w=194&h=291&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x291
Hennessy Paradis;;https://tse1.mm.bing.net/th/id/OIP.AVUImLbt7a4zDQqO0YUCMQHaJQ?w=194&h=243&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 194x243
Hennessy XO;;https://r.bing.com/rp/r31GrT0Eaf_5sPyu1TswcyPA8VI.svg;cannot identify image file <_io.BytesIO object at 0x0000018A819F9210>
Hennessy XO;;https://r.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg;cannot identify image file <_io.BytesIO object at 0x0000018A819F92B0>
Hennessy XO;;https://r.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg;cannot identify image file <_io.BytesIO object at 0x0000018A819F96C0>
Hennessy XO;;https://r.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg;cannot identify image file <_io.BytesIO object at 0x0000018A819F91C0>
Hennessy XO;;https://r.bing.com/rp/UusW4P7f5q9mXctgEuZhyIziufA.svg;cannot identify image file <_io.BytesIO object at 0x0000018A819F9260>
Hennessy XO;;https://r.bing.com/rp/4A9D07RlW6M7gPmPQQydX3khDJc.svg;cannot identify image file <_io.BytesIO object at 0x0000018A819F96C0>
Hennessy XO;;https://r.bing.com/rp/OHA5u4HW70mLbGkOE41WRDXcYTY.svg;cannot identify image file <_io.BytesIO object at 0x0000018A819F9440>
Hennessy XO;;https://r.bing.com/rp/UzLAW1Q1WOatPD4L3XbeKD9b0Lg.svg;cannot identify image file <_io.BytesIO object at 0x0000018A819F93F0>
Hennessy XO;;https://tse1.mm.bing.net/th/id/OIP.QpeS-XIrXmx4rxhczeSmeQHaE6?w=298&h=197&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 298x197
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.gvaevgnUQM3SEhSEpvzcVQHaFj?w=263&h=197&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 263x197
Hennessy XO;;https://tse1.mm.bing.net/th/id/OIP.XmQKoujHYNkef2itLSJUhgHaJQ?w=157&h=197&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 157x197
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.ZhbGe9GPbawzSxNbBuhwJwHaFj?w=262&h=197&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 262x197
Hennessy XO;;https://tse3.mm.bing.net/th/id/OIP.Gxs78a36I6r3BQ8Rd9cKRwHaE6?w=244&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 244x180
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.Ea3MjJsfRrQB5TytPvS1BQHaJS?w=127&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 127x180
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.wO7PymhyKqAwsDkKoBdDJAHaE6?w=243&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 243x180
Hennessy XO;;https://tse2.mm.bing.net/th/id/OIP._1jGAI4-PJvSLm9kuuuYMgHaLH?w=115&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 115x180
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.ktYRWDfZADIvtzXRcKR9QwHaE7?w=243&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 243x180
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.5KZdAvmIhZGKUFIHUc9ayQAAAA?w=148&h=197&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 148x197
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.bAfgj65Jc1pK_43mBGkg8gHaFU?w=274&h=197&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 274x197
Hennessy XO;;https://tse3.mm.bing.net/th/id/OIP.q9rS1YN4nAhs2kHmsUutvAHaFj?w=263&h=197&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 263x197
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.J9LBBks-sZVcdCsO5XvchQHaE7?w=295&h=197&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 295x197
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.zYNQAf1-ypoCmTqQtpRN6gHaFj?w=265&h=199&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 265x199
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.DWzdEv6EERqILPzzzs7j-AHaEy?w=307&h=199&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 307x199
Hennessy XO;;https://tse4.mm.bing.net/th/id/OIP.PKxJHnlt9G5Zs4dg7WXEAgHaFU?w=276&h=199&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 276x199
Hennessy XO;;https://tse2.mm.bing.net/th/id/OIP.ad1CQ5jfdm7m90zdwpd9xAHaLH?w=132&h=199&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 132x199
Hennessy;;https://r.bing.com/rp/r31GrT0Eaf_5sPyu1TswcyPA8VI.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BC40>
Hennessy;;https://r.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BC40>
Hennessy;;https://r.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BC40>
