product;query;image_number;image_url;width;height;file
La Fiole du pape 75 cl;La Fiole du pape 75 cl bottle packshot white background;1;https://www.wineandbeyond.ca/cdn/shop/files/1008449_1.jpg?v=1781087115&width=1024;1024;2048;images_google\la-fiole-du-pape-75-cl\la-fiole-du-pape-75-cl-01-136d1e24db.jpg
La Fiole du pape 75 cl;La Fiole du pape 75 cl bottle packshot white background;2;https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/c447326c-f1a1-4d6d-afbe-6ef25f9ef2c1-retina-large.jpeg;1194;672;images_google\la-fiole-du-pape-75-cl\la-fiole-du-pape-75-cl-02-602840bf08.jpg
La Fiole du pape 75 cl;La Fiole du pape 75 cl bottle packshot white background;3;https://wineanthology.com/images/thumbs/0024858_pere-anselme-la-fiole-du-pape-cotes-du-rhone-blanc-2025_600.gif;600;600;images_google\la-fiole-du-pape-75-cl\la-fiole-du-pape-75-cl-03-6975cd8b52.png
La Fiole du pape 75 cl;La Fiole du pape 75 cl bottle packshot white background;4;https://bottleking.ng/_next/image?url=https%3A%2F%2Fdnk1kazq09utu.cloudfront.net%2Fproduct-la-fiole-viognier-1787838166954.png&w=3840&q=75;1254;1254;images_google\la-fiole-du-pape-75-cl\la-fiole-du-pape-75-cl-04-a8db108d24.png
La Fiole du pape 75 cl;La Fiole du pape 75 cl bottle packshot white background;5;https://nlliquor.com/wp-content/uploads/4788-2.jpg;1280;1280;images_google\la-fiole-du-pape-75-cl\la-fiole-du-pape-75-cl-05-4e7b920fda.jpg
Champagne Ruinard;Champagne Ruinard bottle packshot white background;1;https://www.fulhamwinecompany.co.uk/cdn/shop/products/Ruinart-Blanc-de-Blancs_2048x.png?v=1625499773;992;992;images_google\champagne-ruinard\champagne-ruinard-01-9ddf858b3e.png
