FIO-PA-750, La Fiole du pape, Maison Brotte, vin, Vin rouge, France, 75 cl, 14.5,40,100,Vin,Châteauneuf-du-Pape le plus vendu au monde. La Fiole de la Maison Brotte est offerte dans une bouteille évoquant le mouvement des ceps de vigne sous le Mistral- vent dominant soufflant dans la région. L’utilisation de vins de réserve (certains possédant 5 ans d’âge) dans l’assemblage final donne à cette cuvée une qualité constante, true, false
FIO-PA-1500, La Fiole du pape , Brotte, vin, Vin rouge, France, 1,5 L,14.5,70,100,Vin Grand format,Châteauneuf-du-Pape le plus vendu au monde. La Fiole de la Maison Brotte est offerte dans une bouteille évoquant le mouvement des ceps de vigne sous le Mistral- vent dominant soufflant dans la région. L’utilisation de vins de réserve (certains possédant 5 ans d’âge) dans l’assemblage final donne à cette cuvée une qualité constante, true, false
RUIN-RUI-750,Champagne Ruinard, Champagne Ruinart, vin, champagne, France, 75 cl, 12.5, 130,100,Champagne, Belle harmonie. Il débute par un nez explosif de brioche grillée,= minéral et miellé ajoutant un élément d'agrumes en bouche. Le tout dans un ensemble ferme et corsé. Arrière-goût persistant de noisettes grillées.,true,true 
HEN-PAR-700,Hennessy Paradis, James Hennessy & Co., cognac , ,France, 70 cl, 40,650, 100, Cognac Premium, Excellent cognac très doux un goût riche et profond tout en gardant cette douceur que henessy peut offrir.Ne le mélangez pas ou n'utilisez pas de glace il est d'une excellente finesse seul a ne pas manquer.,, true,true
HEN-XO-750,Hennessy XO, James Hennessy & Co., cognac , ,France, 75 cl, 40,150, 100,whisky Cognac Premium,,,, true,true
HEN-HEN-750,Hennessy, James Hennessy & Co., cognac , ,France, 75 cl, 40,50, 100,whisky Cognac Premium VSOP,,,, true,true
CAM-SCO-750, Camus scotch , Camus,cognac ,, France, 75 cl, 40,60,100, Cette édition limitée de Camus Borderies VSOP présente un profil droit minéral et floral. Les eaux-de-vie entrant dans la composition de ce cognac proviennent majoritairement des domaines Camus et ont été entièrement distillées sur lies. Le long vieillissement en fûts ayant déjà contenu du spiritueux a sublimé le caractère minéral de ce Camus Borderies VSOP donnant naissance à une palette aromatique harmonieuse onctueuse et cohérente., whisky Cognac Premium VSOP,, true,true
MAR-MAR-700,Martell , Martell, cognac ,, France, 75 cl, 40,70, 100, Ce cognac dévoile un profil velouté et complexe aux notes de prune de pomme au four et de moka. Son élaboration repose sur l'assemblage de plus d'une centaine d'eaux-de-vie issues majoritairement du terroir des Borderies élevées en fûts de chêne à grain fin., whisky Cognac Premium VSOP,,,, true,true
MAR-XO-700,Martell XO, Martell, cognac ,, France, 75 cl, 40,180, 100, Le Martell XO est un cognac qui allie avec maestria l'élégance et la rondeur des crus des Borderies à l'intensité des crus de la Grande Champagne. Fidèles aux méthodes éprouvées de la Maison Martell ces eaux-de-vie vieillissent de nombreuses années en fûts de chêne de Tronçais après une double distillation qui révèle des arômes profonds et onctueux., whisky Cognac Premium VSOP,,,, true,true
MAR-XXO-1000,Martell  XXO ,  Martell, cognac ,, France, 1 l, 40,250, 100, Le Martell XO est un cognac qui allie avec maestria l'élégance et la rondeur des crus des Borderies à l'intensité des crus de la Grande Champagne. Fidèles aux méthodes éprouvées de la Maison Martell ces eaux-de-vie vieillissent de nombreuses années en fûts de chêne de Tronçais après une double distillation qui révèle des arômes profonds et onctueux., whisky Cognac Premium VSOP, true,true
JHW-BLUE-750,Johnnie Walker Blue Label,Johnnie Walker, whisky,,Ecosse, 75 cl, 40, 150, 100, Avec plus de 200 ans d'histoire Johnnie Walker est passé maître dans l'élaboration de scotchs d'assemblage. Pourvue de la réserve la plus importante au monde l'entreprise doit sa fulgurante croissance au fils du fondateur Alexander Walker qui la fit connaître aux quatre coins de la planète avec l'emblématique bouteille carrée mais surtout une qualité et une constance qui encore aujourd'hui délectent les amateurs des « blended scotches » les plus fins.Sublime! Issu des fûts les plus rares de la maison le Blue Label repose sur une conception qui évoque le goût et le caractère qui prévalaient parmi les whiskys du début du XIXe siècle. Son nez subtilement boisé et fumé laisse place à  une bouche d'une grande profondeur appuyée par une texture velouté et un registre de fruits secs de cacao de pomme cuite et de cèdre. , whisky Premium , true,false
JHW-GOSHT-750, Johnnie Walker Blue Label ghost and rare , Johnnie Walker, whisky,,Ecosse, 75 cl, 40, 250, 100, , whisky Premium , true,false
JHW-GOLD-750, Johnnie Walker Gold Label,Johnnie Walker, whisky,,Ecosse, 75 cl, 40, 40, 100, Avec plus de 200 ans d'histoire Johnnie Walker est passé maître dans l'élaboration de scotchs d'assemblage. Pourvue de la réserve la plus importante au monde l'entreprise doit sa fulgurante croissance au fils du fondateur Alexander Walker qui la fit connaître aux quatre coins de la planète avec l'emblématique bouteille carrée mais surtout une qualité et une constance qui encore aujourd'hui délectent les amateurs des « blended scotches » les plus fins.Le Gold Label Reserve tire son nom des whiskys entrant dans l'assemblage dont la source d'eau jaillit des collines de Kildonan où de l'or a été découvert en 1868. Issu de fûts de la réserve Johnnie Walker soigneusement sélectionnés il dévoile un palais riche et complexe aux accents d'épices de pâte d'amande de miel et de bois., whisky Premium , true,false
GLEN-12-750, Glenfiddich 12 ans , William Grant & Sons Brands Ltd, whisky,,Ecosse, 75 cl, 35, 40, 100,Le nom de cette distillerie fondée en 1887 par William Grant dans le Speyside signifie « la vallée du cerf ». Elle se démarque dès 1961 en utilisant la bouteille triangulaire aujourd'hui célèbre. Élevé dans une combinaison de fûts de bourbon et de fûts de xérès le 12 ans de la maison est une véritable référence du style jouant la carte de l'élégance et de l'équilibre. Un scotch au registre évoquant la poire chaude le miel les fleurs et les épices douces que tout amateur devrait garder en réserve., whisky Premium , true,false
GLEN-18-750,Glenfiddich 18 ans , William Grant & Sons Brands Ltd, whisky,,Ecosse, 75 cl, 40, 80, 100,Le nom de cette distillerie fondée en 1887 par William Grant dans le Speyside signifie « la vallée du cerf ». Elle se démarque dès 1961 en utilisant la bouteille triangulaire aujourd'hui célèbre. Élevé dans une combinaison de fûts de bourbon et de fûts de xérès le 18 ans de la maison est une véritable référence du style jouant la carte de l'élégance et de l'équilibre. Un scotch au registre évoquant la poire chaude le miel les fleurs et les épices douces que tout amateur devrait garder en réserve., whisky Premium , true,false
GLEN-15-750, Glenfiddich 15 ans ,  William Grant & Sons Brands Ltd, whisky,,Ecosse, 75 cl, 40, 80, 100,Le nom de cette distillerie fondée en 1887 par William Grant dans le Speyside signifie « la vallée du cerf ». Elle se démarque dès 1961 en utilisant la bouteille triangulaire aujourd'hui célèbre. Élevé dans une combinaison de fûts de bourbon et de fûts de xérès le 15 ans de la maison est une véritable référence du style jouant la carte de l'élégance et de l'équilibre. Un scotch au registre évoquant la poire chaude le miel les fleurs et les épices douces que tout amateur devrait garder en réserve., whisky Premium , true,false
MOET-BRUT-750,Champagne Moet , Moët & Chandon,vin, champagne, France, 75 cl, 12.5, 60,100,Champagne, Un soupçon de fumée se dégage des saveurs de cassis de crème pâtissière au citron et de miel cristallisé dans ce champagne frais et bien maillé avec une touche de zeste de mandarine et une mousse fine., Champagne, true, true
VEUVE-BRUT-750,Champage Veuve Cliquot, Veuve Clicquot Ponsardin,vin, champagne, France, 75 cl, 12.5, 75 ,100,Champagne, Un champagne classique qui fait toujours plaisir. Notes d'amande grillée de brioche et de vanille. Une bouche ample et beaucoup de fraîcheur., Champagne, true, true
CHI-REG-1140,Chivas ,Chivas Brothers Ltd., whisky,,Ecosse, 1.14 l, 40, 80, 100, Au début des années 1800 les frères Chivas alors épiciers commencent à  entreposer des fûts de whisky dans les caves de leur établissement pour éventuellement les assembler et les offrir aux consommateurs.Les frères Chivas perfectionnent par la suite l'art de l'assemblage et leurs produits acquièrent une réputation enviable à  l'export vers la fin du 19e siècle. Le blended scotch 12 ans a été créé en 1938 marquant le retour de la compagnie aux États-Unis après la prohibition. Un whisky équilibré et élégant aux notes de fleurs de miel et de poire.
MOU-CAD-750, Mouton cadet, Baron Philippe de Rothschild SA, Vin, Bordeaux , France, 75 cl, 14.5,15,100,Vin, Assemblé pour la première fois par le Baron Philippe de Rothschild 40 ans après la naissance de son grand frère en rouge Mouton Cadet blanc porte en lui la fougue du sauvignon blanc mariée la rondeur et au fruité des variétés sémillon et muscadelle. Une cuvée indémodable efficace et accessible dans tous les sens du terme., Vin Bordeaux, True, False
POR-ROUGE-750,Vin Porto, Vin Porto, Vin, vin rouge, Portugal, 75 cl, 12.5, 15, 100, Vin,, True, False
